iter	Passed	Remaining
919	5574	484
920	5580	478
921	5586	472
922	5591	466
923	5596	460
924	5601	454
925	5607	448
926	5612	441
927	5617	435
928	5622	429
929	5628	423
930	5634	417
931	5641	411
932	5647	405
933	5652	399
934	5658	393
935	5663	387
936	5669	381
937	5674	375
938	5679	368
939	5685	362
940	5690	356
941	5695	350
942	5701	344
943	5707	338
944	5712	332
945	5718	326
946	5724	320
947	5730	314
948	5736	308
949	5741	302
950	5746	296
951	5751	290
952	5757	283
953	5763	277
954	5767	271
955	5773	265
956	5779	259
957	5784	253
958	5789	247
959	5794	241
960	5799	235
961	5804	229
962	5809	223
963	5815	217
964	5820	211
965	5825	205
966	5830	198
967	5835	192
968	5841	186
969	5847	180
970	5852	174
971	5856	168
972	5862	162
973	5868	156
974	5873	150
975	5878	144
976	5884	138
977	5889	132
978	5894	126
979	5899	120
980	5904	114
981	5909	108
982	5915	102
983	5921	96
984	5926	90
985	5931	84
986	5937	78
987	5943	72
988	5948	66
989	5953	60
990	5958	54
991	5963	48
992	5968	42
993	5974	36
994	5979	30
995	5985	24
996	5990	18
997	5995	12
998	6001	6
999	6006	0
